 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 16
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.510280E+09   0.225894E+05   0.359521E+04
    2   0.510935E+09   0.226039E+05   0.359752E+04
    3   0.183397E+11   0.135424E+06   0.215534E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      3005 -0.8304E-04 -0.1859E-03  0.5356E-02
      3006 -0.1029E-03 -0.2824E-03  0.8204E-02
      3007 -0.1157E-03 -0.3915E-03  0.1154E-01
      3008 -0.1321E-03 -0.5184E-03  0.1532E-01
      3009 -0.1416E-03 -0.6548E-03  0.1949E-01
      3010 -0.1546E-03 -0.8057E-03  0.2401E-01
      3011 -0.1612E-03 -0.9631E-03  0.2882E-01
      3012 -0.1710E-03 -0.1132E-02  0.3388E-01
      3013 -0.1751E-03 -0.1305E-02  0.3916E-01
      3014 -0.1820E-03 -0.1485E-02  0.4460E-01
      3015 -0.1840E-03 -0.1668E-02  0.5018E-01
      3016 -0.1883E-03 -0.1856E-02  0.5585E-01
      3017 -0.1888E-03 -0.2044E-02  0.6160E-01
      3018 -0.1909E-03 -0.2236E-02  0.6739E-01
      3019 -0.1907E-03 -0.2426E-02  0.7320E-01
      3020 -0.1913E-03 -0.2618E-02  0.7902E-01
      3021 -0.1910E-03 -0.2809E-02  0.8485E-01
      3051  0.0000E+00  0.0000E+00  0.0000E+00
      3052  0.1910E-05 -0.1563E-04  0.3478E-03
      3053 -0.2820E-04 -0.5424E-04  0.1411E-02
      3054 -0.3463E-04 -0.1097E-03  0.3119E-02
      3055 -0.4167E-04 -0.1849E-03  0.5421E-02
      3056 -0.5076E-04 -0.2807E-03  0.8264E-02
      3057 -0.5787E-04 -0.3908E-03  0.1160E-01
      3058 -0.6533E-04 -0.5170E-03  0.1537E-01
      3059 -0.7076E-04 -0.6545E-03  0.1954E-01
      3060 -0.7659E-04 -0.8047E-03  0.2405E-01
      3061 -0.8056E-04 -0.9631E-03  0.2885E-01
      3062 -0.8484E-04 -0.1131E-02  0.3391E-01
      3063 -0.8752E-04 -0.1305E-02  0.3918E-01
      3064 -0.9039E-04 -0.1485E-02  0.4462E-01
      3065 -0.9197E-04 -0.1668E-02  0.5019E-01
      3066 -0.9362E-04 -0.1856E-02  0.5586E-01
      3067 -0.9437E-04 -0.2045E-02  0.6161E-01
      3068 -0.9505E-04 -0.2235E-02  0.6739E-01
      3069 -0.9530E-04 -0.2426E-02  0.7321E-01
      3070 -0.9549E-04 -0.2618E-02  0.7903E-01
      3071 -0.9550E-04 -0.2809E-02  0.8485E-01
      3101  0.0000E+00  0.0000E+00  0.0000E+00
