 
********************************
*RESULT OF EIGEN VALUE ANALYSIS*
********************************
 
 NUMBER OF ITERATIONS = 19
 
   NO.   EIGENVALUE    ANGL.FREQUENCY FREQUENCY(HZ)
   ---   ----------    -------------- -------------
    1   0.513275E+09   0.226556E+05   0.360575E+04
    2   0.513275E+09   0.226556E+05   0.360575E+04
    3   0.181452E+11   0.134704E+06   0.214388E+05


 Mode No.     1

 #### DISPLACEMENT 3D
    NODE     X-DISP      Y-DISP      Z-DISP
---------+-----------+-----------+------------
      4209 -0.5042E-02  0.2447E-01 -0.3244E-02
      4211 -0.5748E-02  0.3617E-01 -0.4851E-02
      4213 -0.6250E-02  0.4915E-01 -0.6631E-02
      4215 -0.6573E-02  0.6300E-01 -0.8526E-02
      4217 -0.6750E-02  0.7736E-01 -0.1049E-01
      4219 -0.6819E-02  0.9197E-01 -0.1248E-01
      4221 -0.6832E-02  0.1066E+00 -0.1447E-01
      5001  0.0000E+00  0.0000E+00  0.0000E+00
      5002  0.9349E-03  0.5055E-03 -0.3151E-03
      5003  0.1891E-02  0.1775E-02 -0.4693E-03
      5004  0.2780E-02  0.3903E-02 -0.7491E-03
      5005  0.3597E-02  0.6768E-02 -0.1120E-02
      5006  0.4334E-02  0.1032E-01 -0.1584E-02
      5007  0.5006E-02  0.1449E-01 -0.2131E-02
      5008  0.5604E-02  0.1922E-01 -0.2755E-02
      5009  0.6136E-02  0.2445E-01 -0.3447E-02
      5010  0.6597E-02  0.3011E-01 -0.4198E-02
      5011  0.6997E-02  0.3615E-01 -0.5001E-02
      5012  0.7331E-02  0.4251E-01 -0.5848E-02
      5013  0.7610E-02  0.4914E-01 -0.6732E-02
      5014  0.7831E-02  0.5598E-01 -0.7647E-02
      5015  0.8005E-02  0.6299E-01 -0.8586E-02
      5016  0.8131E-02  0.7013E-01 -0.9544E-02
      5017  0.8221E-02  0.7736E-01 -0.1052E-01
      5018  0.8276E-02  0.8464E-01 -0.1150E-01
      5019  0.8307E-02  0.9197E-01 -0.1248E-01
      5020  0.8319E-02  0.9929E-01 -0.1348E-01
      5021  0.8323E-02  0.1066E+00 -0.1447E-01
      5051  0.0000E+00  0.0000E+00  0.0000E+00
      5053  0.1049E-02  0.1667E-02 -0.3668E-03
      5055  0.2003E-02  0.6681E-02 -0.1028E-02
      5057  0.2793E-02  0.1442E-01 -0.2056E-02
      5059  0.3426E-02  0.2439E-01 -0.3388E-02
      5061  0.3908E-02  0.3611E-01 -0.4957E-02
      5063  0.4252E-02  0.4911E-01 -0.6703E-02
      5065  0.4475E-02  0.6297E-01 -0.8569E-02
